"Area.name","Total.Population","State","Territory","total","above10","above11","Total.Above10.Est","Total.Above11.Est","above10.Female","above10.Male","above11.Female","above11.Male","Total.Above10.Female","Total.Above10.Male","Total.Above11.Female","Total.Above11.Male","Employed.Female","Employed.Male","Unaccounted.Female.10","Unaccounted.Male.10","Occupation","Sex","Number"
"Montana",20595,"Montana Territory",TRUE,168,155,155,19001.3392857143,19001.3392857143,20,135,20,135,2451.78571428571,16549.5535714286,2451.78571428571,16549.5535714286,591,14376,1860.78571428571,2173.55357142857,"Manufacturing","Male",8020
"Nebraska",122993,"Nebraska",NA,1153,830,796,88537.8924544666,84911.039028621,347,483,331,465,37015.2393755421,51522.6530789245,35308.4848222029,49602.554206418,10375,51410,26640.2393755421,112.653078924544,"Manufacturing","Male",5570
"Nevada",42491,"Nevada",NA,438,374,367,36282.2694063927,35603.1894977169,72,302,69,298,6984.82191780822,29297.4474885845,6693.78767123288,28909.401826484,1878,27925,5106.82191780822,1372.44748858448,"Manufacturing","Male",13632
"New Hampshire",318300,"New Hampshire",NA,3284,2651,2583,256946.802679659,250355.937880633,1373,1278,1340,1243,133077.314250914,123869.488428745,129878.806333739,120477.131546894,55581,130411,77496.3142509135,0,"Manufacturing","Male",32524
"New Jersey",906096,"New Jersey",NA,9493,7180,6904,685322.793637417,658978.909090909,3669,3511,3531,3373,350201.856525861,335120.937111556,337029.914252607,321948.994838302,121392,332729,228809.856525861,2391.93711155583,"Manufacturing","Male",89165
"New Mexico",91874,"New Mexico Territory",TRUE,845,575,558,62517.8106508876,60669.4579881657,283,292,271,287,30769.6355029586,31748.175147929,29464.9159763314,31204.5420118343,3863,27378,26906.6355029586,4370.175147929,"Manufacturing","Male",1444
"New York",4382759,"New York",NA,43850,33896,32832,3387867.7095553,3281522.0863854,17428,16468,16901,15931,1741909.32387685,1645958.38567845,1689236.25676169,1592285.82962372,670218,1667545,1071691.32387685,0,"Manufacturing","Male",397166
"North Carolina",1071361,"North Carolina",NA,15275,10885,10391,763454.303436989,728806.032798691,5651,5234,5419,4972,396350.966350246,367103.337086743,380078.904026187,348727.128772504,90299,326287,306051.966350246,40816.3370867431,"Manufacturing","Male",18262
"Ohio",2665260,"Ohio",NA,27034,19824,19040,1954431.98342828,1877138.0631797,9970,9854,9594,9446,982934.164385588,971497.819042687,945864.631205149,931273.431974551,394680,1091833,588254.164385588,0,"Manufacturing","Male",179394
"Oregon",90923,"Oregon",NA,942,636,611,61387.5031847134,58974.4723991507,244,392,229,382,23551.1804670913,37836.3227176221,22103.3619957537,36871.110403397,9166,39562,14385.1804670913,0,"Manufacturing","Male",8603
"Pennsylvania",3521951,"Pennsylvania",NA,35533,26289,25348,2605706.52179664,2512436.71933133,13250,13039,12787,12561,1313310.1834914,1292396.33830524,1267418.66538148,1245018.05394985,485637,1259906,827673.183491402,32490.3383052372,"Manufacturing","Male",318049
"Rhode Island",217353,"Rhode Island",NA,2130,1727,1683,176229.404225352,171739.483098592,907,820,885,798,92553.6014084507,83675.8028169014,90308.6408450704,81430.8422535211,38673,84811,53880.6014084507,0,"Manufacturing","Male",32865
"South Carolina",705606,"South Carolina",NA,11584,8167,7804,497469.285393646,475358.185773481,4274,3893,4102,3702,260338.401588398,237130.883805249,249861.51691989,225496.668853591,101441,203425,158897.401588398,33705.8838052487,"Manufacturing","Male",10871
"Tennessee",1258520,"Tennessee",NA,16834,11880,11338,888155.970060592,847635.722941666,6153,5727,5876,5462,460001.993584412,428153.976476179,439293.306403707,408342.416537959,102645,386047,357356.993584412,42106.9764761792,"Manufacturing","Male",27138
"Texas",818579,"Texas",NA,11123,7703,7325,566889.691360245,539071.399352693,3707,3996,3543,3782,272810.604423267,294079.086936977,260741.292546975,278330.106805718,60153,242172,212657.604423267,51907.0869369774,"Manufacturing","Male",15063
"Utah",86786,"Utah Territory",TRUE,874,588,563,58386.9199084668,55904.4828375286,271,317,259,304,26909.6178489703,31477.3020594966,25718.0480549199,30186.4347826087,8078,28064,18831.6178489703,3413.30205949657,"Manufacturing","Male",3993
"Vermont",330551,"Vermont",NA,3293,2605,2538,261489.63103553,254764.177953234,1296,1309,1265,1273,130092.346188886,131397.284846644,126980.569389614,127783.60856362,46886,132076,83206.3461888855,0,"Manufacturing","Male",20593
"Virginia",1225163,"Virginia",NA,18678,13448,12885,882106.864974837,845177.495181497,6966,6482,6696,6189,456927.1580469,425179.706927937,439216.803083842,405960.692097655,109153,374352,347774.1580469,50827.7069279366,"Manufacturing","Male",43983
"Washington",23955,"Washington Territory",TRUE,231,172,165,17836.6233766234,17110.7142857143,59,113,57,108,6118.37662337662,11718.2467532468,5910.97402597403,11199.7402597403,1890,11402,4228.37662337662,316.246753246753,"Manufacturing","Male",2638
"West Virginia",442014,"West Virginia",NA,4703,3301,3175,310246.271316181,298404.093132043,1686,1615,1619,1556,158459.622368701,151786.64894748,152162.591112056,146241.502019987,46434,150988,112025.622368701,798.648947480338,"Manufacturing","Male",16827
"Wisconsin",1054670,"Wisconsin",NA,10444,7431,7126,750407.197433933,719607.278820375,3571,3860,3424,3702,360611.50612792,389795.691306013,345766.955189583,373840.323630793,150942,402468,209669.50612792,0,"Manufacturing","Male",49733
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,63,8703.54545454545,8703.54545454545,5,58,5,58,690.757575757576,8012.78787878788,690.757575757576,8012.78787878788,485,6524,205.757575757576,1488.78787878788,"Manufacturing","Male",1637
"Alabama",996992,"Alabama",NA,15133,10761,10260,708955.984404943,675949.112535518,5502,5259,5272,4988,362482.652745655,346473.331659288,347329.797396418,328619.3151391,128157,314240,234325.652745655,32233.3316592876,"Manufacturing","Female",1992
"Arizona",9658,"Arizona Territory",TRUE,92,72,69,7558.4347826087,7243.5,21,51,18,51,2204.54347826087,5353.89130434783,1889.60869565217,5353.89130434783,366,5813,1838.54347826087,0,"Manufacturing","Female",156
"Arkansas",484471,"Arkansas",NA,6219,4422,4186,344481.550410034,326096.736774401,2185,2237,2061,2125,170215.32963499,174266.220775044,160555.512301013,165541.224473388,45300,153221,124915.32963499,21045.2207750442,"Manufacturing","Female",279
"California",560247,"California",NA,5531,4304,4183,435961.505695173,423705.152956066,1459,2845,1405,2778,147785.278069065,288176.227626107,142315.500813596,281389.65214247,58041,271610,89744.2780690653,16566.2276261074,"Manufacturing","Female",2408
"Colorado",39864,"Colorado Territory",TRUE,380,291,284,30527.4315789474,29793.0947368421,107,184,104,180,11224.8631578947,19302.5684210526,10910.1473684211,18882.9473684211,1664,18535,9560.86315789474,767.568421052631,"Manufacturing","Female",54
"Connecticut",537454,"Connecticut",NA,5406,4288,4156,426304.615612283,413181.432482427,2211,2077,2146,2010,219813.317425083,206491.298187199,213351.143914169,199830.288568257,82317,210736,137496.317425083,0,"Manufacturing","Female",16068
"Dakota",14181,"Dakota Territory",TRUE,151,120,115,11269.6688741722,10800.0993377483,44,76,40,75,4132.2119205298,7137.45695364238,3756.55629139073,7043.54304635762,682,6333,3450.2119205298,804.456953642383,"Manufacturing","Female",18
"Delaware",125015,"Delaware",NA,1700,1260,1217,92658.1764705882,89496.0323529412,627,633,606,611,46108.4735294118,46549.7029411765,44564.1705882353,44931.8617647059,15447,44831,30661.4735294118,1718.70294117647,"Manufacturing","Female",1077
"District of Columbia",131700,"District of Columbia",NA,1956,1493,1445,100525.613496933,97293.7116564417,793,700,766,679,53393.7116564417,47131.9018404908,51575.7668711657,45717.9447852761,23778,45204,29615.7116564417,1927.90184049079,"Manufacturing","Female",1634
"Florida",187748,"Florida",NA,3042,2114,2008,130473.133464826,123930.96120973,1042,1072,989,1019,64310.7876397107,66162.3458251151,61039.701512163,62891.2596975674,16168,57313,48142.7876397107,8849.34582511506,"Manufacturing","Female",266
"Georgia",1184109,"Georgia",NA,18027,12624,12032,829211.295057414,790325.594275254,6571,6053,6301,5731,431618.141620902,397593.153436512,413883.109169579,376442.485105675,154292,367879,277326.141620902,29714.1534365119,"Manufacturing","Female",4778
"Idaho",14999,"Idaho Territory",TRUE,157,147,146,14043.6496815287,13948.1146496815,27,120,27,119,2579.44585987261,11464.2038216561,2579.44585987261,11368.6687898089,347,10998,2232.44585987261,466.203821656052,"Manufacturing","Female",11
"Illinois",2539891,"Illinois",NA,26547,18942,18135,1812280.6841451,1735070.75319245,9054,9888,8682,9453,866243.760650921,946036.92349418,830652.56571364,904418.187478811,326251,963985,539992.760650921,0,"Manufacturing","Female",9109
"Indiana",1680637,"Indiana",NA,17455,12464,11929,1200083.61890576,1148571.68564881,6161,6303,5894,6035,593205.646347751,606877.972558006,567497.821712976,581073.863935835,218356,636242,374849.646347751,0,"Manufacturing","Female",3984
"Iowa",1194020,"Iowa",NA,11693,8246,7929,842032.747797828,809662.582741811,3904,4342,3756,4173,398653.389207218,443379.35859061,383540.504575387,426122.078166424,168862,481765,229791.389207218,0,"Manufacturing","Female",2758
"Kansas",364399,"Kansas",NA,3964,2834,2723,260521.3839556,250317.47653885,1188,1646,1143,1580,109209.387487386,151311.996468214,105072.668264379,145244.80827447,36848,149922,72361.3874873865,1389.99646821391,"Manufacturing","Female",723
"Kentucky",1321011,"Kentucky",NA,16884,11955,11483,935364.043176972,898434.57196162,5970,5985,5740,5743,467095.218550107,468268.824626866,449099.925373134,449334.646588486,136753,459045,330342.218550107,9223.82462686568,"Manufacturing","Female",4258
"Louisiana",726915,"Louisiana",NA,11564,8339,7973,524190.95338983,501184.131355932,4186,4153,4013,3960,263132.669491525,261058.283898305,252257.860169492,248926.271186441,83534,224177,179598.669491525,36881.2838983051,"Manufacturing","Female",2548
"Maine",626915,"Maine",NA,5919,4713,4599,499180.671566143,487106.282311201,2372,2341,2313,2286,251232.029058963,247948.64250718,244983.003041054,242123.279270147,102832,260523,148400.029058963,0,"Manufacturing","Female",12742
"Maryland",780894,"Maryland",NA,10201,7537,7247,576962.854426037,554763.142633075,3852,3685,3718,3529,294873.413194785,282089.441231252,284615.61533183,270147.527301245,94811,269167,200062.413194785,12922.4412312519,"Manufacturing","Female",6677
"Massachusetts",1457351,"Massachusetts",NA,14782,11781,11464,1161483.70524963,1130230.81206873,6163,5618,6015,5449,607607.510012177,553876.195237451,593016.253889866,537214.558178866,270963,596263,336644.510012177,0,"Manufacturing","Female",70872
"Michigan",1184059,"Michigan",NA,11756,8669,8369,873137.756975162,842921.892735624,4142,4527,3994,4375,417180.365600544,455957.391374617,402273.872575706,440648.020159918,183915,484093,233265.365600544,0,"Manufacturing","Female",5203
"Minnesota",439706,"Minnesota",NA,4652,3227,3074,305015.318572657,290553.7927773,1482,1745,1406,1668,140078.308684437,164937.00988822,132894.805674979,157658.987102322,57428,171990,82650.3086844368,0,"Manufacturing","Female",933
"Mississippi",827922,"Mississippi",NA,13107,9083,8645,573740.407873655,546073.524834058,4553,4530,4369,4276,287596.617532616,286143.790341039,275974,270099.524834058,105735,252256,181861.617532616,33887.7903410391,"Manufacturing","Female",863
"Missouri",1721295,"Missouri",NA,19084,13448,12820,1212951.95766087,1156309.04946552,6443,7005,6158,6662,581130.983284427,631820.974376441,555425.204883672,600883.844581849,192702,637194,388428.983284427,0,"Manufacturing","Female",5262
"Montana",20595,"Montana Territory",TRUE,168,155,155,19001.3392857143,19001.3392857143,20,135,20,135,2451.78571428571,16549.5535714286,2451.78571428571,16549.5535714286,591,14376,1860.78571428571,2173.55357142857,"Manufacturing","Female",10
"Nebraska",122993,"Nebraska",NA,1153,830,796,88537.8924544666,84911.039028621,347,483,331,465,37015.2393755421,51522.6530789245,35308.4848222029,49602.554206418,10375,51410,26640.2393755421,112.653078924544,"Manufacturing","Female",193
"Nevada",42491,"Nevada",NA,438,374,367,36282.2694063927,35603.1894977169,72,302,69,298,6984.82191780822,29297.4474885845,6693.78767123288,28909.401826484,1878,27925,5106.82191780822,1372.44748858448,"Manufacturing","Female",157
"New Hampshire",318300,"New Hampshire",NA,3284,2651,2583,256946.802679659,250355.937880633,1373,1278,1340,1243,133077.314250914,123869.488428745,129878.806333739,120477.131546894,55581,130411,77496.3142509135,0,"Manufacturing","Female",14029
"New Jersey",906096,"New Jersey",NA,9493,7180,6904,685322.793637417,658978.909090909,3669,3511,3531,3373,350201.856525861,335120.937111556,337029.914252607,321948.994838302,121392,332729,228809.856525861,2391.93711155583,"Manufacturing","Female",14157
"New Mexico",91874,"New Mexico Territory",TRUE,845,575,558,62517.8106508876,60669.4579881657,283,292,271,287,30769.6355029586,31748.175147929,29464.9159763314,31204.5420118343,3863,27378,26906.6355029586,4370.175147929,"Manufacturing","Female",851
"New York",4382759,"New York",NA,43850,33896,32832,3387867.7095553,3281522.0863854,17428,16468,16901,15931,1741909.32387685,1645958.38567845,1689236.25676169,1592285.82962372,670218,1667545,1071691.32387685,0,"Manufacturing","Female",79609
"North Carolina",1071361,"North Carolina",NA,15275,10885,10391,763454.303436989,728806.032798691,5651,5234,5419,4972,396350.966350246,367103.337086743,380078.904026187,348727.128772504,90299,326287,306051.966350246,40816.3370867431,"Manufacturing","Female",2330
"Ohio",2665260,"Ohio",NA,27034,19824,19040,1954431.98342828,1877138.0631797,9970,9854,9594,9446,982934.164385588,971497.819042687,945864.631205149,931273.431974551,394680,1091833,588254.164385588,0,"Manufacturing","Female",17616
"Oregon",90923,"Oregon",NA,942,636,611,61387.5031847134,58974.4723991507,244,392,229,382,23551.1804670913,37836.3227176221,22103.3619957537,36871.110403397,9166,39562,14385.1804670913,0,"Manufacturing","Female",91
"Pennsylvania",3521951,"Pennsylvania",NA,35533,26289,25348,2605706.52179664,2512436.71933133,13250,13039,12787,12561,1313310.1834914,1292396.33830524,1267418.66538148,1245018.05394985,485637,1259906,827673.183491402,32490.3383052372,"Manufacturing","Female",38191
"Rhode Island",217353,"Rhode Island",NA,2130,1727,1683,176229.404225352,171739.483098592,907,820,885,798,92553.6014084507,83675.8028169014,90308.6408450704,81430.8422535211,38673,84811,53880.6014084507,0,"Manufacturing","Female",14142
"South Carolina",705606,"South Carolina",NA,11584,8167,7804,497469.285393646,475358.185773481,4274,3893,4102,3702,260338.401588398,237130.883805249,249861.51691989,225496.668853591,101441,203425,158897.401588398,33705.8838052487,"Manufacturing","Female",2923
"Tennessee",1258520,"Tennessee",NA,16834,11880,11338,888155.970060592,847635.722941666,6153,5727,5876,5462,460001.993584412,428153.976476179,439293.306403707,408342.416537959,102645,386047,357356.993584412,42106.9764761792,"Manufacturing","Female",1923
"Texas",818579,"Texas",NA,11123,7703,7325,566889.691360245,539071.399352693,3707,3996,3543,3782,272810.604423267,294079.086936977,260741.292546975,278330.106805718,60153,242172,212657.604423267,51907.0869369774,"Manufacturing","Female",816
"Utah",86786,"Utah Territory",TRUE,874,588,563,58386.9199084668,55904.4828375286,271,317,259,304,26909.6178489703,31477.3020594966,25718.0480549199,30186.4347826087,8078,28064,18831.6178489703,3413.30205949657,"Manufacturing","Female",114
"Vermont",330551,"Vermont",NA,3293,2605,2538,261489.63103553,254764.177953234,1296,1309,1265,1273,130092.346188886,131397.284846644,126980.569389614,127783.60856362,46886,132076,83206.3461888855,0,"Manufacturing","Female",2023
"Virginia",1225163,"Virginia",NA,18678,13448,12885,882106.864974837,845177.495181497,6966,6482,6696,6189,456927.1580469,425179.706927937,439216.803083842,405960.692097655,109153,374352,347774.1580469,50827.7069279366,"Manufacturing","Female",5430
"Washington",23955,"Washington Territory",TRUE,231,172,165,17836.6233766234,17110.7142857143,59,113,57,108,6118.37662337662,11718.2467532468,5910.97402597403,11199.7402597403,1890,11402,4228.37662337662,316.246753246753,"Manufacturing","Female",15
"West Virginia",442014,"West Virginia",NA,4703,3301,3175,310246.271316181,298404.093132043,1686,1615,1619,1556,158459.622368701,151786.64894748,152162.591112056,146241.502019987,46434,150988,112025.622368701,798.648947480338,"Manufacturing","Female",846
"Wisconsin",1054670,"Wisconsin",NA,10444,7431,7126,750407.197433933,719607.278820375,3571,3860,3424,3702,360611.50612792,389795.691306013,345766.955189583,373840.323630793,150942,402468,209669.50612792,0,"Manufacturing","Female",3784
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,63,8703.54545454545,8703.54545454545,5,58,5,58,690.757575757576,8012.78787878788,690.757575757576,8012.78787878788,485,6524,205.757575757576,1488.78787878788,"Manufacturing","Female",27
"Alabama",996992,"Alabama",NA,15133,10761,10260,708955.984404943,675949.112535518,5502,5259,5272,4988,362482.652745655,346473.331659288,347329.797396418,328619.3151391,128157,314240,234325.652745655,32233.3316592876,"Trade","Male",14345
"Arizona",9658,"Arizona Territory",TRUE,92,72,69,7558.4347826087,7243.5,21,51,18,51,2204.54347826087,5353.89130434783,1889.60869565217,5353.89130434783,366,5813,1838.54347826087,0,"Trade","Male",588
"Arkansas",484471,"Arkansas",NA,6219,4422,4186,344481.550410034,326096.736774401,2185,2237,2061,2125,170215.32963499,174266.220775044,160555.512301013,165541.224473388,45300,153221,124915.32963499,21045.2207750442,"Trade","Male",5474
"California",560247,"California",NA,5531,4304,4183,435961.505695173,423705.152956066,1459,2845,1405,2778,147785.278069065,288176.227626107,142315.500813596,281389.65214247,58041,271610,89744.2780690653,16566.2276261074,"Trade","Male",33038
"Colorado",39864,"Colorado Territory",TRUE,380,291,284,30527.4315789474,29793.0947368421,107,184,104,180,11224.8631578947,19302.5684210526,10910.1473684211,18882.9473684211,1664,18535,9560.86315789474,767.568421052631,"Trade","Male",2813
"Connecticut",537454,"Connecticut",NA,5406,4288,4156,426304.615612283,413181.432482427,2211,2077,2146,2010,219813.317425083,206491.298187199,213351.143914169,199830.288568257,82317,210736,137496.317425083,0,"Trade","Male",24511
"Dakota",14181,"Dakota Territory",TRUE,151,120,115,11269.6688741722,10800.0993377483,44,76,40,75,4132.2119205298,7137.45695364238,3756.55629139073,7043.54304635762,682,6333,3450.2119205298,804.456953642383,"Trade","Male",204
"Delaware",125015,"Delaware",NA,1700,1260,1217,92658.1764705882,89496.0323529412,627,633,606,611,46108.4735294118,46549.7029411765,44564.1705882353,44931.8617647059,15447,44831,30661.4735294118,1718.70294117647,"Trade","Male",3347
"District of Columbia",131700,"District of Columbia",NA,1956,1493,1445,100525.613496933,97293.7116564417,793,700,766,679,53393.7116564417,47131.9018404908,51575.7668711657,45717.9447852761,23778,45204,29615.7116564417,1927.90184049079,"Trade","Male",5852
"Florida",187748,"Florida",NA,3042,2114,2008,130473.133464826,123930.96120973,1042,1072,989,1019,64310.7876397107,66162.3458251151,61039.701512163,62891.2596975674,16168,57313,48142.7876397107,8849.34582511506,"Trade","Male",3016
"Georgia",1184109,"Georgia",NA,18027,12624,12032,829211.295057414,790325.594275254,6571,6053,6301,5731,431618.141620902,397593.153436512,413883.109169579,376442.485105675,154292,367879,277326.141620902,29714.1534365119,"Trade","Male",17336
"Idaho",14999,"Idaho Territory",TRUE,157,147,146,14043.6496815287,13948.1146496815,27,120,27,119,2579.44585987261,11464.2038216561,2579.44585987261,11368.6687898089,347,10998,2232.44585987261,466.203821656052,"Trade","Male",720
"Illinois",2539891,"Illinois",NA,26547,18942,18135,1812280.6841451,1735070.75319245,9054,9888,8682,9453,866243.760650921,946036.92349418,830652.56571364,904418.187478811,326251,963985,539992.760650921,0,"Trade","Male",79876
"Indiana",1680637,"Indiana",NA,17455,12464,11929,1200083.61890576,1148571.68564881,6161,6303,5894,6035,593205.646347751,606877.972558006,567497.821712976,581073.863935835,218356,636242,374849.646347751,0,"Trade","Male",36371
"Iowa",1194020,"Iowa",NA,11693,8246,7929,842032.747797828,809662.582741811,3904,4342,3756,4173,398653.389207218,443379.35859061,383540.504575387,426122.078166424,168862,481765,229791.389207218,0,"Trade","Male",28151
"Kansas",364399,"Kansas",NA,3964,2834,2723,260521.3839556,250317.47653885,1188,1646,1143,1580,109209.387487386,151311.996468214,105072.668264379,145244.80827447,36848,149922,72361.3874873865,1389.99646821391,"Trade","Male",11736
"Kentucky",1321011,"Kentucky",NA,16884,11955,11483,935364.043176972,898434.57196162,5970,5985,5740,5743,467095.218550107,468268.824626866,449099.925373134,449334.646588486,136753,459045,330342.218550107,9223.82462686568,"Trade","Male",24961
"Louisiana",726915,"Louisiana",NA,11564,8339,7973,524190.95338983,501184.131355932,4186,4153,4013,3960,263132.669491525,261058.283898305,252257.860169492,248926.271186441,83534,224177,179598.669491525,36881.2838983051,"Trade","Male",23496
"Maine",626915,"Maine",NA,5919,4713,4599,499180.671566143,487106.282311201,2372,2341,2313,2286,251232.029058963,247948.64250718,244983.003041054,242123.279270147,102832,260523,148400.029058963,0,"Trade","Male",27880
"Maryland",780894,"Maryland",NA,10201,7537,7247,576962.854426037,554763.142633075,3852,3685,3718,3529,294873.413194785,282089.441231252,284615.61533183,270147.527301245,94811,269167,200062.413194785,12922.4412312519,"Trade","Male",34567
"Massachusetts",1457351,"Massachusetts",NA,14782,11781,11464,1161483.70524963,1130230.81206873,6163,5618,6015,5449,607607.510012177,553876.195237451,593016.253889866,537214.558178866,270963,596263,336644.510012177,0,"Trade","Male",81077
"Michigan",1184059,"Michigan",NA,11756,8669,8369,873137.756975162,842921.892735624,4142,4527,3994,4375,417180.365600544,455957.391374617,402273.872575706,440648.020159918,183915,484093,233265.365600544,0,"Trade","Male",29493
"Minnesota",439706,"Minnesota",NA,4652,3227,3074,305015.318572657,290553.7927773,1482,1745,1406,1668,140078.308684437,164937.00988822,132894.805674979,157658.987102322,57428,171990,82650.3086844368,0,"Trade","Male",10559
"Mississippi",827922,"Mississippi",NA,13107,9083,8645,573740.407873655,546073.524834058,4553,4530,4369,4276,287596.617532616,286143.790341039,275974,270099.524834058,105735,252256,181861.617532616,33887.7903410391,"Trade","Male",9076
"Missouri",1721295,"Missouri",NA,19084,13448,12820,1212951.95766087,1156309.04946552,6443,7005,6158,6662,581130.983284427,631820.974376441,555425.204883672,600883.844581849,192702,637194,388428.983284427,0,"Trade","Male",54583
"Montana",20595,"Montana Territory",TRUE,168,155,155,19001.3392857143,19001.3392857143,20,135,20,135,2451.78571428571,16549.5535714286,2451.78571428571,16549.5535714286,591,14376,1860.78571428571,2173.55357142857,"Trade","Male",1232
"Nebraska",122993,"Nebraska",NA,1153,830,796,88537.8924544666,84911.039028621,347,483,331,465,37015.2393755421,51522.6530789245,35308.4848222029,49602.554206418,10375,51410,26640.2393755421,112.653078924544,"Trade","Male",4623
"Nevada",42491,"Nevada",NA,438,374,367,36282.2694063927,35603.1894977169,72,302,69,298,6984.82191780822,29297.4474885845,6693.78767123288,28909.401826484,1878,27925,5106.82191780822,1372.44748858448,"Trade","Male",3621
"New Hampshire",318300,"New Hampshire",NA,3284,2651,2583,256946.802679659,250355.937880633,1373,1278,1340,1243,133077.314250914,123869.488428745,129878.806333739,120477.131546894,55581,130411,77496.3142509135,0,"Trade","Male",8126
"New Jersey",906096,"New Jersey",NA,9493,7180,6904,685322.793637417,658978.909090909,3669,3511,3531,3373,350201.856525861,335120.937111556,337029.914252607,321948.994838302,121392,332729,228809.856525861,2391.93711155583,"Trade","Male",45242
"New Mexico",91874,"New Mexico Territory",TRUE,845,575,558,62517.8106508876,60669.4579881657,283,292,271,287,30769.6355029586,31748.175147929,29464.9159763314,31204.5420118343,3863,27378,26906.6355029586,4370.175147929,"Trade","Male",863
"New York",4382759,"New York",NA,43850,33896,32832,3387867.7095553,3281522.0863854,17428,16468,16901,15931,1741909.32387685,1645958.38567845,1689236.25676169,1592285.82962372,670218,1667545,1071691.32387685,0,"Trade","Male",229789
"North Carolina",1071361,"North Carolina",NA,15275,10885,10391,763454.303436989,728806.032798691,5651,5234,5419,4972,396350.966350246,367103.337086743,380078.904026187,348727.128772504,90299,326287,306051.966350246,40816.3370867431,"Trade","Male",10094
"Ohio",2665260,"Ohio",NA,27034,19824,19040,1954431.98342828,1877138.0631797,9970,9854,9594,9446,982934.164385588,971497.819042687,945864.631205149,931273.431974551,394680,1091833,588254.164385588,0,"Trade","Male",77690
"Oregon",90923,"Oregon",NA,942,636,611,61387.5031847134,58974.4723991507,244,392,229,382,23551.1804670913,37836.3227176221,22103.3619957537,36871.110403397,9166,39562,14385.1804670913,0,"Trade","Male",2611
"Pennsylvania",3521951,"Pennsylvania",NA,35533,26289,25348,2605706.52179664,2512436.71933133,13250,13039,12787,12561,1313310.1834914,1292396.33830524,1267418.66538148,1245018.05394985,485637,1259906,827673.183491402,32490.3383052372,"Trade","Male",116714
"Rhode Island",217353,"Rhode Island",NA,2130,1727,1683,176229.404225352,171739.483098592,907,820,885,798,92553.6014084507,83675.8028169014,90308.6408450704,81430.8422535211,38673,84811,53880.6014084507,0,"Trade","Male",9878
"South Carolina",705606,"South Carolina",NA,11584,8167,7804,497469.285393646,475358.185773481,4274,3893,4102,3702,260338.401588398,237130.883805249,249861.51691989,225496.668853591,101441,203425,158897.401588398,33705.8838052487,"Trade","Male",8250
"Tennessee",1258520,"Tennessee",NA,16834,11880,11338,888155.970060592,847635.722941666,6153,5727,5876,5462,460001.993584412,428153.976476179,439293.306403707,408342.416537959,102645,386047,357356.993584412,42106.9764761792,"Trade","Male",17417
"Texas",818579,"Texas",NA,11123,7703,7325,566889.691360245,539071.399352693,3707,3996,3543,3782,272810.604423267,294079.086936977,260741.292546975,278330.106805718,60153,242172,212657.604423267,51907.0869369774,"Trade","Male",13576
"Utah",86786,"Utah Territory",TRUE,874,588,563,58386.9199084668,55904.4828375286,271,317,259,304,26909.6178489703,31477.3020594966,25718.0480549199,30186.4347826087,8078,28064,18831.6178489703,3413.30205949657,"Trade","Male",1648
"Vermont",330551,"Vermont",NA,3293,2605,2538,261489.63103553,254764.177953234,1296,1309,1265,1273,130092.346188886,131397.284846644,126980.569389614,127783.60856362,46886,132076,83206.3461888855,0,"Trade","Male",7101
"Virginia",1225163,"Virginia",NA,18678,13448,12885,882106.864974837,845177.495181497,6966,6482,6696,6189,456927.1580469,425179.706927937,439216.803083842,405960.692097655,109153,374352,347774.1580469,50827.7069279366,"Trade","Male",19992
"Washington",23955,"Washington Territory",TRUE,231,172,165,17836.6233766234,17110.7142857143,59,113,57,108,6118.37662337662,11718.2467532468,5910.97402597403,11199.7402597403,1890,11402,4228.37662337662,316.246753246753,"Trade","Male",1127
"West Virginia",442014,"West Virginia",NA,4703,3301,3175,310246.271316181,298404.093132043,1686,1615,1619,1556,158459.622368701,151786.64894748,152162.591112056,146241.502019987,46434,150988,112025.622368701,798.648947480338,"Trade","Male",6888
"Wisconsin",1054670,"Wisconsin",NA,10444,7431,7126,750407.197433933,719607.278820375,3571,3860,3424,3702,360611.50612792,389795.691306013,345766.955189583,373840.323630793,150942,402468,209669.50612792,0,"Trade","Male",21342
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,63,8703.54545454545,8703.54545454545,5,58,5,58,690.757575757576,8012.78787878788,690.757575757576,8012.78787878788,485,6524,205.757575757576,1488.78787878788,"Trade","Male",1646
"Alabama",996992,"Alabama",NA,15133,10761,10260,708955.984404943,675949.112535518,5502,5259,5272,4988,362482.652745655,346473.331659288,347329.797396418,328619.3151391,128157,314240,234325.652745655,32233.3316592876,"Trade","Female",90
"Arizona",9658,"Arizona Territory",TRUE,92,72,69,7558.4347826087,7243.5,21,51,18,51,2204.54347826087,5353.89130434783,1889.60869565217,5353.89130434783,366,5813,1838.54347826087,0,"Trade","Female",3
"Arkansas",484471,"Arkansas",NA,6219,4422,4186,344481.550410034,326096.736774401,2185,2237,2061,2125,170215.32963499,174266.220775044,160555.512301013,165541.224473388,45300,153221,124915.32963499,21045.2207750442,"Trade","Female",17
"California",560247,"California",NA,5531,4304,4183,435961.505695173,423705.152956066,1459,2845,1405,2778,147785.278069065,288176.227626107,142315.500813596,281389.65214247,58041,271610,89744.2780690653,16566.2276261074,"Trade","Female",127
